cluster,commune
7,倶知安町
4,芽室町
4,共和町
0,長万部町
0,東川町
4,滝上町
0,上富良野町
4,美唄市
4,鹿部町
4,奈井江町
6,釧路市
0,佐呂間町
4,知内町
0,別海町
4,石狩市
4,むかわ町
0,江差町
4,愛別町
4,岩見沢市
4,厚沢部町
4,剣淵町
0,森町
4,留萌市
4,陸別町
4,浜中町
0,南富良野町
4,栗山町
0,幕別町
4,和寒町
4,初山別村
0,北広島市
4,様似町
5,網走市
0,蘭越町
4,遠軽町
4,更別村
4,幌延町
5,壮瞥町
4,神恵内村
0,清水町
0,八雲町
2,千歳市
4,妹背牛町
0,北竜町
5,中札内村
0,恵庭市
4,南幌町
4,安平町
0,利尻町
4,白糠町
9,美瑛町
4,遠別町
0,名寄市
0,美深町
4,乙部町
4,奥尻町
4,苫前町
4,興部町
4,北斗市
4,士別市
4,仁木町
5,美幌町
5,苫小牧市
11,帯広市
2,登別市
4,幌加内町
4,訓子府町
0,新得町
4,新ひだか町
0,京極町
3,札幌市
4,伊達市
4,士幌町
9,富良野市
0,浜頓別町
4,当別町
4,豊浦町
4,三笠市
5,弟子屈町
5,小清水町
4,浦臼町
0,余市町
4,日高町
0,中標津町
6,上川町
4,由仁町
4,新篠津村
5,喜茂別町
0,礼文町
0,当麻町
5,大空町
4,歌志内市
4,赤平市
4,比布町
4,浦幌町
4,音威子府村
10,小樽市
4,平取町
5,音更町
4,猿払村
4,中川町
4,大樹町
5,稚内市
4,浦河町
0,根室市
4,新冠町
4,今金町
5,占冠村
1,函館市
4,秩父別町
4,島牧村
4,滝川市
4,岩内町
5,白老町
0,足寄町
5,砂川市
4,広尾町
4,江別市
0,釧路町
4,中頓別町
5,室蘭市
4,本別町
4,上ノ国町
4,鹿追町
0,松前町
4,津別町
0,豊富町
2,七飯町
4,羽幌町
4,鶴居村
4,西興部村
0,赤井川村
0,積丹町
8,旭川市
0,湧別町
7,ニセコ町
0,羅臼町
4,長沼町
4,えりも町
0,標茶町
4,真狩村
4,上砂川町
5,北見市
4,福島町
4,下川町
4,月形町
4,置戸町
4,雨竜町
4,黒松内町
4,厚真町
4,池田町
9,中富良野町
4,鷹栖町
4,芦別市
0,利尻富士町
11,斜里町
0,上士幌町
4,せたな町
4,枝幸町
4,夕張市
4,天塩町
4,沼田町
4,古平町
4,寿都町
4,豊頃町
4,新十津川町
4,清里町
0,深川市
0,厚岸町
11,洞爺湖町
0,標津町
4,泊村
7,留寿都村
4,木古内町
4,増毛町
0,紋別市
4,小平町
4,東神楽町
4,雄武町
