month,commune,datatype,value
2012/01,えりも町,day_trip,3.1
2012/02,えりも町,day_trip,1.6
2012/03,えりも町,day_trip,2.6
2012/04,えりも町,day_trip,13.6
2012/05,えりも町,day_trip,21.7
2012/06,えりも町,day_trip,12.5
2012/07,えりも町,day_trip,17.2
2012/08,えりも町,day_trip,32
2012/09,えりも町,day_trip,12.8
2012/10,えりも町,day_trip,9.1
2012/11,えりも町,day_trip,2
2012/12,えりも町,day_trip,0.2
2012/01,せたな町,day_trip,7.6
2012/02,せたな町,day_trip,4.5
2012/03,せたな町,day_trip,8.4
2012/04,せたな町,day_trip,9.9
2012/05,せたな町,day_trip,19
2012/06,せたな町,day_trip,18
2012/07,せたな町,day_trip,31.6
2012/08,せたな町,day_trip,38
2012/09,せたな町,day_trip,15.5
2012/10,せたな町,day_trip,10.1
2012/11,せたな町,day_trip,7.9
2012/12,せたな町,day_trip,10.3
2012/01,ニセコ町,day_trip,151.2
2012/02,ニセコ町,day_trip,119.2
2012/03,ニセコ町,day_trip,97.2
2012/04,ニセコ町,day_trip,47.8
2012/05,ニセコ町,day_trip,66
2012/06,ニセコ町,day_trip,65
2012/07,ニセコ町,day_trip,84.7
2012/08,ニセコ町,day_trip,133.2
2012/09,ニセコ町,day_trip,77.2
2012/10,ニセコ町,day_trip,84.3
2012/11,ニセコ町,day_trip,35.1
2012/12,ニセコ町,day_trip,92.9
2012/01,むかわ町,day_trip,9.1
2012/02,むかわ町,day_trip,7.9
2012/03,むかわ町,day_trip,9.3
2012/04,むかわ町,day_trip,13.7
2012/05,むかわ町,day_trip,28.4
2012/06,むかわ町,day_trip,15.7
2012/07,むかわ町,day_trip,20.3
2012/08,むかわ町,day_trip,21.8
2012/09,むかわ町,day_trip,14
2012/10,むかわ町,day_trip,13.6
2012/11,むかわ町,day_trip,11.5
2012/12,むかわ町,day_trip,8.7
2012/01,愛別町,day_trip,0.3
2012/02,愛別町,day_trip,0.1
2012/03,愛別町,day_trip,0.5
2012/04,愛別町,day_trip,0.2
2012/05,愛別町,day_trip,6.6
2012/06,愛別町,day_trip,9.1
2012/07,愛別町,day_trip,7.5
2012/08,愛別町,day_trip,8.3
2012/09,愛別町,day_trip,12.5
2012/10,愛別町,day_trip,6.3
2012/11,愛別町,day_trip,2.5
2012/12,愛別町,day_trip,0.4
2012/01,旭川市,day_trip,174.1
2012/02,旭川市,day_trip,394.4
2012/03,旭川市,day_trip,302.7
2012/04,旭川市,day_trip,165.5
2012/05,旭川市,day_trip,427.7
2012/06,旭川市,day_trip,591.7
2012/07,旭川市,day_trip,730.7
2012/08,旭川市,day_trip,822.5
2012/09,旭川市,day_trip,734.7
2012/10,旭川市,day_trip,496.7
2012/11,旭川市,day_trip,234.4
2012/12,旭川市,day_trip,234.1
2012/01,芦別市,day_trip,78.5
2012/02,芦別市,day_trip,50
2012/03,芦別市,day_trip,41.5
2012/04,芦別市,day_trip,34.6
2012/05,芦別市,day_trip,75.9
2012/06,芦別市,day_trip,69.4
2012/07,芦別市,day_trip,118.3
2012/08,芦別市,day_trip,129.5
2012/09,芦別市,day_trip,61.6
2012/10,芦別市,day_trip,54.2
2012/11,芦別市,day_trip,33.4
2012/12,芦別市,day_trip,28.4
2012/01,安平町,day_trip,34.1
2012/02,安平町,day_trip,22.8
2012/03,安平町,day_trip,10.1
2012/04,安平町,day_trip,18.3
2012/05,安平町,day_trip,29.9
2012/06,安平町,day_trip,33.1
2012/07,安平町,day_trip,60
2012/08,安平町,day_trip,36.4
2012/09,安平町,day_trip,35.6
2012/10,安平町,day_trip,30.1
2012/11,安平町,day_trip,14.4
2012/12,安平町,day_trip,12.3
2012/01,伊達市,day_trip,118.4
2012/02,伊達市,day_trip,76.6
2012/03,伊達市,day_trip,108
2012/04,伊達市,day_trip,81.5
2012/05,伊達市,day_trip,119.5
2012/06,伊達市,day_trip,74.2
2012/07,伊達市,day_trip,135.6
2012/08,伊達市,day_trip,165.1
2012/09,伊達市,day_trip,81.6
2012/10,伊達市,day_trip,165
2012/11,伊達市,day_trip,93.8
2012/12,伊達市,day_trip,83
2012/01,雨竜町,day_trip,9.4
2012/02,雨竜町,day_trip,8.3
2012/03,雨竜町,day_trip,11.1
2012/04,雨竜町,day_trip,15.6
2012/05,雨竜町,day_trip,28.1
2012/06,雨竜町,day_trip,30.9
2012/07,雨竜町,day_trip,39.5
2012/08,雨竜町,day_trip,47.6
2012/09,雨竜町,day_trip,28
2012/10,雨竜町,day_trip,23.2
2012/11,雨竜町,day_trip,14.3
2012/12,雨竜町,day_trip,9.9
2012/01,浦臼町,day_trip,6.8
2012/02,浦臼町,day_trip,4.3
2012/03,浦臼町,day_trip,6.7
2012/04,浦臼町,day_trip,10.2
2012/05,浦臼町,day_trip,17.3
2012/06,浦臼町,day_trip,17.4
2012/07,浦臼町,day_trip,26.3
2012/08,浦臼町,day_trip,56.9
2012/09,浦臼町,day_trip,34.4
2012/10,浦臼町,day_trip,20.9
2012/11,浦臼町,day_trip,10.7
2012/12,浦臼町,day_trip,6.2
2012/01,浦河町,day_trip,0.5
2012/02,浦河町,day_trip,0.5
2012/03,浦河町,day_trip,0.4
2012/04,浦河町,day_trip,2
2012/05,浦河町,day_trip,13.3
2012/06,浦河町,day_trip,3.2
2012/07,浦河町,day_trip,5.5
2012/08,浦河町,day_trip,21.1
2012/09,浦河町,day_trip,5.2
2012/10,浦河町,day_trip,2.3
2012/11,浦河町,day_trip,0.4
2012/12,浦河町,day_trip,1.4
2012/01,浦幌町,day_trip,1.5
2012/02,浦幌町,day_trip,1.1
2012/03,浦幌町,day_trip,1.6
2012/04,浦幌町,day_trip,1.7
2012/05,浦幌町,day_trip,2.4
2012/06,浦幌町,day_trip,3.1
2012/07,浦幌町,day_trip,2.3
2012/08,浦幌町,day_trip,3
2012/09,浦幌町,day_trip,34.6
2012/10,浦幌町,day_trip,3.3
2012/11,浦幌町,day_trip,1.4
2012/12,浦幌町,day_trip,0.7
2012/01,猿払村,day_trip,2.9
2012/02,猿払村,day_trip,2.5
2012/03,猿払村,day_trip,1.7
2012/04,猿払村,day_trip,3.5
2012/05,猿払村,day_trip,8.7
2012/06,猿払村,day_trip,12.2
2012/07,猿払村,day_trip,17.2
2012/08,猿払村,day_trip,15.1
2012/09,猿払村,day_trip,13.1
2012/10,猿払村,day_trip,8.5
2012/11,猿払村,day_trip,6.1
2012/12,猿払村,day_trip,4.3
2012/01,遠軽町,day_trip,17.3
2012/02,遠軽町,day_trip,15
2012/03,遠軽町,day_trip,11.8
2012/04,遠軽町,day_trip,13.4
2012/05,遠軽町,day_trip,30.5
2012/06,遠軽町,day_trip,25
2012/07,遠軽町,day_trip,29.2
2012/08,遠軽町,day_trip,60.7
2012/09,遠軽町,day_trip,38.7
2012/10,遠軽町,day_trip,17.5
2012/11,遠軽町,day_trip,9.2
2012/12,遠軽町,day_trip,8.4
2012/01,遠別町,day_trip,1.1
2012/02,遠別町,day_trip,1.1
2012/03,遠別町,day_trip,1.4
2012/04,遠別町,day_trip,3.7
2012/05,遠別町,day_trip,10.3
2012/06,遠別町,day_trip,10.8
2012/07,遠別町,day_trip,13.7
2012/08,遠別町,day_trip,18.4
2012/09,遠別町,day_trip,9.8
2012/10,遠別町,day_trip,5.2
2012/11,遠別町,day_trip,1.4
2012/12,遠別町,day_trip,1.2
2012/01,奥尻町,day_trip,0
2012/02,奥尻町,day_trip,0
2012/03,奥尻町,day_trip,0
2012/04,奥尻町,day_trip,0.1
2012/05,奥尻町,day_trip,0.1
2012/06,奥尻町,day_trip,0.1
2012/07,奥尻町,day_trip,0.1
2012/08,奥尻町,day_trip,0.2
2012/09,奥尻町,day_trip,0.1
2012/10,奥尻町,day_trip,0
2012/11,奥尻町,day_trip,0
2012/12,奥尻町,day_trip,0
2012/01,乙部町,day_trip,3.8
2012/02,乙部町,day_trip,3.3
2012/03,乙部町,day_trip,4.1
2012/04,乙部町,day_trip,6.3
2012/05,乙部町,day_trip,11.2
2012/06,乙部町,day_trip,8.3
2012/07,乙部町,day_trip,14.6
2012/08,乙部町,day_trip,33.3
2012/09,乙部町,day_trip,8.6
2012/10,乙部町,day_trip,7.6
2012/11,乙部町,day_trip,5.1
2012/12,乙部町,day_trip,3.8
2012/01,音威子府村,day_trip,4.2
2012/02,音威子府村,day_trip,4
2012/03,音威子府村,day_trip,3.5
2012/04,音威子府村,day_trip,4.2
2012/05,音威子府村,day_trip,5.3
2012/06,音威子府村,day_trip,5.4
2012/07,音威子府村,day_trip,5.7
2012/08,音威子府村,day_trip,7.4
2012/09,音威子府村,day_trip,4.7
2012/10,音威子府村,day_trip,4.1
2012/11,音威子府村,day_trip,2.5
2012/12,音威子府村,day_trip,9.1
2012/01,音更町,day_trip,71.8
2012/02,音更町,day_trip,77.7
2012/03,音更町,day_trip,30.8
2012/04,音更町,day_trip,48.3
2012/05,音更町,day_trip,82.4
2012/06,音更町,day_trip,81.7
2012/07,音更町,day_trip,125.5
2012/08,音更町,day_trip,169.2
2012/09,音更町,day_trip,90.4
2012/10,音更町,day_trip,74.6
2012/11,音更町,day_trip,36.5
2012/12,音更町,day_trip,24.8
2012/01,下川町,day_trip,3.1
2012/02,下川町,day_trip,7.9
2012/03,下川町,day_trip,3
2012/04,下川町,day_trip,2.8
2012/05,下川町,day_trip,4.9
2012/06,下川町,day_trip,3.2
2012/07,下川町,day_trip,3.6
2012/08,下川町,day_trip,8
2012/09,下川町,day_trip,3.7
2012/10,下川町,day_trip,3.9
2012/11,下川町,day_trip,2.8
2012/12,下川町,day_trip,2.7
2012/01,歌志内市,day_trip,50.5
2012/02,歌志内市,day_trip,42
2012/03,歌志内市,day_trip,34.2
2012/04,歌志内市,day_trip,25.8
2012/05,歌志内市,day_trip,31.2
2012/06,歌志内市,day_trip,27.1
2012/07,歌志内市,day_trip,30.8
2012/08,歌志内市,day_trip,38.1
2012/09,歌志内市,day_trip,27.9
2012/10,歌志内市,day_trip,28.3
2012/11,歌志内市,day_trip,20.9
2012/12,歌志内市,day_trip,31.3
2012/01,芽室町,day_trip,21
2012/02,芽室町,day_trip,19
2012/03,芽室町,day_trip,7.7
2012/04,芽室町,day_trip,1.1
2012/05,芽室町,day_trip,15.5
2012/06,芽室町,day_trip,18.8
2012/07,芽室町,day_trip,23.9
2012/08,芽室町,day_trip,31.6
2012/09,芽室町,day_trip,21.4
2012/10,芽室町,day_trip,20.7
2012/11,芽室町,day_trip,12
2012/12,芽室町,day_trip,8.7
2012/01,岩見沢市,day_trip,78
2012/02,岩見沢市,day_trip,56.5
2012/03,岩見沢市,day_trip,25.9
2012/04,岩見沢市,day_trip,47
2012/05,岩見沢市,day_trip,111.9
2012/06,岩見沢市,day_trip,65.9
2012/07,岩見沢市,day_trip,272.2
2012/08,岩見沢市,day_trip,185.3
2012/09,岩見沢市,day_trip,166.7
2012/10,岩見沢市,day_trip,47.9
2012/11,岩見沢市,day_trip,22.9
2012/12,岩見沢市,day_trip,25.6
2012/01,岩内町,day_trip,11.4
2012/02,岩内町,day_trip,8.3
2012/03,岩内町,day_trip,9.3
2012/04,岩内町,day_trip,11.5
2012/05,岩内町,day_trip,21.6
2012/06,岩内町,day_trip,18.9
2012/07,岩内町,day_trip,103.3
2012/08,岩内町,day_trip,74.6
2012/09,岩内町,day_trip,21.3
2012/10,岩内町,day_trip,18.9
2012/11,岩内町,day_trip,9
2012/12,岩内町,day_trip,5.8
2012/01,喜茂別町,day_trip,68.2
2012/02,喜茂別町,day_trip,70.4
2012/03,喜茂別町,day_trip,75.1
2012/04,喜茂別町,day_trip,148.3
2012/05,喜茂別町,day_trip,252.4
2012/06,喜茂別町,day_trip,406.6
2012/07,喜茂別町,day_trip,350.5
2012/08,喜茂別町,day_trip,482.7
2012/09,喜茂別町,day_trip,275.6
2012/10,喜茂別町,day_trip,274
2012/11,喜茂別町,day_trip,98.8
2012/12,喜茂別町,day_trip,68.6
2012/01,共和町,day_trip,1.2
2012/02,共和町,day_trip,1
2012/03,共和町,day_trip,2.6
2012/04,共和町,day_trip,1
2012/05,共和町,day_trip,1
2012/06,共和町,day_trip,19.2
2012/07,共和町,day_trip,20.3
2012/08,共和町,day_trip,43.9
2012/09,共和町,day_trip,21.8
2012/10,共和町,day_trip,56.3
2012/11,共和町,day_trip,1.5
2012/12,共和町,day_trip,0.4
2012/01,興部町,day_trip,0.5
2012/02,興部町,day_trip,0.8
2012/03,興部町,day_trip,1.1
2012/04,興部町,day_trip,2
2012/05,興部町,day_trip,4.3
2012/06,興部町,day_trip,3.8
2012/07,興部町,day_trip,7.4
2012/08,興部町,day_trip,11.3
2012/09,興部町,day_trip,4.7
2012/10,興部町,day_trip,2.9
2012/11,興部町,day_trip,1.2
2012/12,興部町,day_trip,0.8
2012/01,倶知安町,day_trip,155.3
2012/02,倶知安町,day_trip,104.3
2012/03,倶知安町,day_trip,132.6
2012/04,倶知安町,day_trip,64.2
2012/05,倶知安町,day_trip,11.9
2012/06,倶知安町,day_trip,67.3
2012/07,倶知安町,day_trip,92.4
2012/08,倶知安町,day_trip,117
2012/09,倶知安町,day_trip,76.7
2012/10,倶知安町,day_trip,31.4
2012/11,倶知安町,day_trip,8.1
2012/12,倶知安町,day_trip,105.1
2012/01,釧路市,day_trip,122.5
2012/02,釧路市,day_trip,258.7
2012/03,釧路市,day_trip,127.2
2012/04,釧路市,day_trip,153.2
2012/05,釧路市,day_trip,152.4
2012/06,釧路市,day_trip,189.7
2012/07,釧路市,day_trip,249.4
2012/08,釧路市,day_trip,295.1
2012/09,釧路市,day_trip,238.6
2012/10,釧路市,day_trip,243.9
2012/11,釧路市,day_trip,127.4
2012/12,釧路市,day_trip,102.9
2012/01,釧路町,day_trip,2.4
2012/02,釧路町,day_trip,2.6
2012/03,釧路町,day_trip,2.6
2012/04,釧路町,day_trip,4.2
2012/05,釧路町,day_trip,8.3
